,Data,Ultimo,10_giorni_precedenti_Ultimo,20_giorni_precedenti_Ultimo,30_giorni_precedenti_Ultimo
226,165.8016,315.44,330.12,329.07,316.03
227,165.8232,314.9,331.75,327.75,315.1
228,165.8448,311.49,329.9,328.89,316.51
229,165.8664,314.53,330.85,326.44,318.1
230,165.888,315.23,328.29,330.19,317.95
231,165.9528,312.49,328.72,329.34,316.42
232,165.9744,313.73,330.22,326.82,322.22
233,165.99599999999998,316.17,326.45,326.02,324.1
234,166.0176,327.97,321.91,330.05,326.35
235,166.03920000000002,332.23,321.0,330.2,329.92
236,166.104,331.06,315.44,330.12,329.07
237,166.1256,328.31,314.9,331.75,327.75
238,166.1472,330.21,311.49,329.9,328.89
239,166.1688,334.78,314.53,330.85,326.44
240,166.1904,336.07,315.23,328.29,330.19
241,166.2552,336.03,312.49,328.72,329.34
242,166.27679999999998,335.84,313.73,330.22,326.82
243,166.2984,340.91,316.17,326.45,326.02
244,166.32000000000002,343.93,327.97,321.91,330.05
245,166.34159999999997,343.05,332.23,321.0,330.2
246,166.40640000000002,348.34,331.06,315.44,330.12
247,166.428,351.26,328.31,314.9,331.75
248,166.4496,358.07,330.21,311.49,329.9
249,166.4712,356.52,334.78,314.53,330.85
250,166.4928,359.35,336.07,315.23,328.29
251,166.55759999999998,368.58,336.03,312.49,328.72
252,166.5792,365.5,335.84,313.73,330.22
253,166.60080000000002,369.02,340.91,316.17,326.45
254,166.62239999999997,364.22,343.93,327.97,321.91
255,166.644,369.06,343.05,332.23,321.0
256,166.7304,369.39,348.34,331.06,315.44
257,166.752,365.14,351.26,328.31,314.9
258,166.7736,364.97,358.07,330.21,311.49
259,166.7952,365.65,356.52,334.78,314.53
260,166.85999999999999,367.26,359.35,336.07,315.23
261,166.8816,362.81,368.58,336.03,312.49
262,166.90320000000003,367.74,365.5,335.84,313.73
263,166.9248,367.07,369.02,340.91,316.17
264,166.9464,370.47,364.22,343.93,327.97
265,167.0112,369.33,369.06,343.05,332.23
266,167.0328,376.72,369.39,348.34,331.06
267,167.0544,376.17,365.14,351.26,328.31
268,167.076,375.91,364.97,358.07,330.21
269,167.0976,374.95,365.65,356.52,334.78
270,167.1624,372.99,367.26,359.35,336.07
271,167.18400000000003,370.03,362.81,368.58,336.03
272,167.20559999999998,374.57,367.74,365.5,335.84
273,167.2272,373.5,367.07,369.02,340.91
274,167.24880000000002,373.59,370.47,364.22,343.93
275,167.3136,372.11,369.33,369.06,343.05
276,167.33520000000001,366.59,376.72,369.39,348.34
277,167.3568,367.92,376.17,365.14,351.26
278,167.3784,366.58,375.91,364.97,358.07
279,167.4,367.48,374.95,365.65,356.52
280,167.4648,369.83,372.99,367.26,359.35
281,167.48639999999997,376.3,370.03,362.81,368.58
282,167.508,375.35,374.57,367.74,365.5
283,167.52960000000002,375.22,373.5,367.07,369.02
284,167.616,371.3,373.59,370.47,364.22
285,167.6376,379.5,372.11,369.33,369.06
286,167.6592,378.94,366.59,376.72,369.39
287,167.6808,379.77,367.92,376.17,365.14
288,167.70239999999998,375.36,366.58,375.91,364.97
289,167.76719999999997,378.66,367.48,374.95,365.65
290,167.7888,373.56,369.83,372.99,367.26
291,167.81040000000002,373.15,376.3,370.03,362.81
292,167.83200000000002,377.63,375.35,374.57,367.74
293,167.8536,380.4,375.22,373.5,367.07
294,167.9184,381.19,371.3,373.59,370.47
295,167.94,387.62,379.5,372.11,369.33
296,167.9616,390.45,378.94,366.59,376.72
297,167.98319999999998,388.46,379.77,367.92,376.17
298,168.0048,384.2,375.36,366.58,375.91
299,168.06959999999998,380.95,378.66,367.48,374.95
300,168.09120000000001,381.76,373.56,369.83,372.99
301,168.11280000000002,382.76,373.15,376.3,370.03
302,168.1344,379.25,377.63,375.35,374.57
303,168.156,379.02,380.4,375.22,373.5
304,168.2208,373.66,381.19,371.3,373.59
305,168.2424,375.34,387.62,379.5,372.11
306,168.26399999999998,380.29,390.45,378.94,366.59
307,168.2856,380.52,388.46,379.77,367.92
308,168.3072,380.8,384.2,375.36,366.58
309,168.372,380.08,380.95,378.66,367.48
310,168.39360000000002,377.32,381.76,373.56,369.83
311,168.4152,378.51,382.76,373.15,376.3
312,168.4368,383.25,379.25,377.63,375.35
313,168.4584,375.74,379.02,380.4,375.22
314,168.5232,376.76,373.66,381.19,371.3
315,168.5448,371.62,375.34,387.62,379.5
316,168.5664,368.57,380.29,390.45,378.94
317,168.588,372.19,380.52,388.46,379.77
318,168.6096,372.39,380.8,384.2,375.36
319,168.67440000000002,372.28,380.08,380.95,378.66
320,168.696,375.35,377.32,381.76,373.56
321,168.7176,376.19,378.51,382.76,373.15
322,168.7392,374.96,383.25,379.25,377.63
323,168.76080000000002,377.49,375.74,379.02,380.4
324,168.8472,381.94,376.76,373.66,381.19
325,168.8688,382.79,371.62,375.34,387.62
